C	I/I0
F500
0.500000000000000	0.483643799555057
0.500000000000000	0.488442719827308
0.500000000000000	0.486835990254435
0.300000000000000	0.669609187227441
0.300000000000000	0.673443734240393
0.300000000000000	0.675431078976816
0.100000000000000	0.906391534338330
0.100000000000000	0.904859979000322
0.100000000000000	0.904859979000322

F800
0.500000000000000	0.466066066629735
0.500000000000000	0.471983529406292
0.500000000000000	0.471400552964063
0.300000000000000	0.668258541272711
0.300000000000000	0.669880706274657
0.300000000000000	0.665640710866509
0.100000000000000	0.853942317986867
0.100000000000000	0.854402655941336
0.100000000000000	0.855178795117153

F1000
0.500000000000000	0.0508000000000000
0.500000000000000	0.0513200000000000
0.500000000000000	0.0509500000000000
0.300000000000000	0.155000000000000
0.300000000000000	0.157000000000000
0.300000000000000	0.165000000000000
0.100000000000000	0.584600000000000
0.100000000000000	0.577616613280000
0.100000000000000	0.574300000000000
